DATE,RS_FILENAME,COMPRESSED_SIZE,NUMBER_OF_OBJECTS,UNCOMPRESSED_SIZE,RS_SHA1_HASH,RC_FILENAME,RC_SHA256_HASH
2006-07,RS_2006-07.zst,1854328,24026,33394835,342e59a382d4f14f2db495149eea67325481c4c75ccfa1e8ac6a39563868f363,RC_2006-07.bz2,aa95cbaaa38e367f724f8ffacbc26fb90ad1ef8e99d68a312d458075dbc1909b
2006-08,RS_2006-08.zst,3003003,40750,56708636,ede47c9492cf39667a7dc54599d5b20d7d0548edacc4cb8fcbba3c4ab563c1a3,RC_2006-08.bz2,ed76bc5f063c5aff7e76c15880a7640dd3b359578959503cb95e606812d86711
2006-09,RS_2006-09.zst,3864165,54043,74906775,8e63a01a98d46cfc2b705a6586dc328a04beadcf8436cc493f88be132190c9c5,RC_2006-09.bz2,b1f9f5834c0913e5532e313082b3e3ec3cb5a29be7638e9b8c530789e1518cf7
2006-10,RS_2006-10.zst,3006136,38333,53444688,a6763a672fcc9b99c6c33c39b4b5e5d8baae8eca572510f1837c8f9e6d06b6f5,RC_2006-10.bz2,cd2f7744ae8ac30a9c5710fa2efa5158100630352f0a0b4e936823dedef7bb38
2006-11,RS_2006-11.zst,2951166,36824,52018534,96e33aafe7f2a873d95da0a8ba459704cb1e0681aaba93963ae296959608ca7b,RC_2006-11.bz2,5ea720eadddace89979b615efb179ca8336816bc3a2591cb2d9f7b8da1fba37a
2006-12,RS_2006-12.zst,2935578,36434,51527620,977fff905c2d8f388fa162620e4d3aa51a544d8408e5dc3b2958f772103ec845,RC_2006-12.bz2,703dde8974f0808a226352809fb2d4735cfa37a375bee8296cc1b70fecd9a2f5
2007-01,RS_2007-01.zst,3549181,43725,61945200,6a8ca71a95023f1e8ef38d674764deafc6b75df1fbcb35b9ac7d11665693acad,RC_2007-01.bz2,225f2b3b2f2a6d75362a4c4ea63007046780d63b344815ccf20f7f4e84bd14d9
2007-02,RS_2007-02.zst,3901596,47317,67207302,3ac927345b7a2e1298ce000208a7f05d784ce87cc5f0770a2f0917781c78dccb,RC_2007-02.bz2,90f3ffcc831fe601c333b7034e1a2ec3b7dad822ad35f6f3aedaaf42c782c5ab
2007-03,RS_2007-03.zst,4824020,58642,83332441,470ecf9466ac8d9688cdbd2e88b73d3639244da3f84bbacbb46617bc8f230bd4,RC_2007-03.bz2,9f365669f86a67bc2d6099cb903b78cd56f513fea680b168045f05996a3f6557
2007-04,RS_2007-04.zst,5054216,61544,87535403,b5024b505775b8e522588aaca23548bf83365f5309427ef2494aa5af910811a5,RC_2007-04.bz2,84c25e6d8f1425ea7d9ad6022b336ec3e5cfb8b3c3ebdbfb1c2c6d00425ab410
2007-05,RS_2007-05.zst,5449618,65098,92752343,65cbf1650763bfd28ef9412d5e9237d0502ef961e8da4b8e2cc1f1553280ec87,RC_2007-05.bz2,90ee3d1a6c85769b94bf1ebef45f7283630c96a373096078dfe1179f69b24a46
2007-06,RS_2007-06.zst,5265463,62693,89335670,e22610e5e70a1b19adefe0bed837c3def4bec2c168ad3dfea4e4471dc2e9efe0,RC_2007-06.bz2,503c2cd10633b4388817bcb8656dfd1c360b122e5ee037153edae08ab4f15c27
2007-07,RS_2007-07.zst,6131885,73248,104320699,6be4d132a4eac1242cbf0219d3fa47a2960f0dcc35f84954c037ccb0001f62d2,RC_2007-07.bz2,a217b88da41b5ed780bf18865e0f5049e298917c5ff3962916add99275258d9b
2007-08,RS_2007-08.zst,7060489,84952,120819681,e4588cdd144ab7b127f592cf08034495db1ee4b3f698b02b7a9a462338e00323,RC_2007-08.bz2,2aebacf0811229da2e3416158e051b940cca975faa0c3534cc3ac1ce30f00f01
2007-09,RS_2007-09.zst,7732251,91294,130129749,807009b26eb89e7874f7642d24d86fe93b2a2508a817d08cb47c5a0776247608,RC_2007-09.bz2,03c25296f942602b1b88b8ebdd25f8053c1244a5c74e4d07fc04f24e531062e7
2007-10,RS_2007-10.zst,8361224,101633,144566145,dd257c11ad8de8efc9c93668f4f50b2fdfc0db14c2f0d72955de5e40b8ac5d5a,RC_2007-10.bz2,df152ec2498acb5867a0adc7c456126b4b0dfab5e44008984a78bb4da146de5e
2007-11,RS_2007-11.zst,8601796,106868,152036037,42f6688e93a39a515c0a3eb6e1d47ac4cff097976c96dafba873d323bddbf70b,RC_2007-11.bz2,8ce88709037c1d3a42aad016cf57f2bab3efa05946f9aeef64564ac1041b639d
2007-12,RS_2007-12.zst,8938510,111193,158136453,ab944ee53c227af69b04319a390b5ff9f90b2b9fe3fb4c719397fe28f9fc99bc,RC_2007-12.bz2,c4746faaa83e7fe1fb3e435c9f2f09cbddbc24f8cc0e96366b542f68050db936
2008-01,RS_2008-01.zst,11408942,142310,202219766,ef732db2047004f4774eafa5bf981f7fdc3b18c6c2b00c095ff7f476c0ee2bb2,RC_2008-01.bz2,a4bee83ca8aba5044b41dff723b50d56fbcf6486a9be774d46bf07b38fc6f01f
2008-02,RS_2008-02.zst,11973598,147834,210212815,f00c2f3deee48d52a26a67dbf1c7d3e19de60fcb8a2b33ccef930a126f7a3a52,RC_2008-02.bz2,0175bb73888eff092b34c09b9520289c4f2d584c2ee2d1fb0a43c99bb17489c7
2008-03,RS_2008-03.zst,13663731,168227,239138694,ad44aeee7970bb262aef46caf82807ca32bedeb6489b0d11d2945e99d0e8f562,RC_2008-03.bz2,e49c5c5cbf0f35b88cf025204091e2b6fd611da810c9b995dbea227e71d9cba2
2008-04,RS_2008-04.zst,13631636,167472,238076663,d0850e3a9b6d6fee6821391e3accca3041e426f63d97929710593e21c263100a,RC_2008-04.bz2,08ec938ff1c1cac3000edee5318121728f5a67849882f907fcb12ead7821aa53
2008-05,RS_2008-05.zst,14428297,177022,251726408,751ba8e3b8084a7547b51e3e640c169ca7936035d0e7d8c13899dfaecd1adaa1,RC_2008-05.bz2,aacbe603573e5840cbe4de995df466f69ff8bbbf3f56e1ce595fde016dfea393
2008-06,RS_2008-06.zst,15602841,190682,271206560,67e18062c4c8af155f6012f2a6cff7c23eb9edf70effba2fedbdbdf41539cf61,RC_2008-06.bz2,e5f60b00a99ec7c5050bd6725f4492be9230a75189578394623821b6ab824784
2008-07,RS_2008-07.zst,17829522,218092,306440329,443c96a9b52464dd2b1b8d3d5a4368b785fa94a30e2b6df7b243ce10d335c4c8,RC_2008-07.bz2,759554292d20ecb90c87bbe72e8b34598540e7fd877759a6a7bef817b3210558
2008-08,RS_2008-08.zst,17475228,212552,298493973,3c68d1fdc55cc5778e2c54570bb3713be0a26bdf7f821517f4d3645e663a6e38,RC_2008-08.bz2,8e2f176126182e4b07acd396ee6c0327dbc0f6457ee1262394c3bc1debda0711
2008-09,RS_2008-09.zst,21191683,256268,360509506,a9c65d7425cf6107cd78a34e9f458b75b8506562e9f7e3fe770c5e6a43d64da2,RC_2008-09.bz2,760c526b734147f4fd2f43b532a0af1b363db6ba3b200c2b99243a8baa783717
2008-10,RS_2008-10.zst,23661214,282974,397876003,29b871d1a4972db9307e7862381f122d0c5fcefebc7247011121532a6f226835,RC_2008-10.bz2,0c990a39ba32dd5441f12dc79bc4fd7c065b9ccc931fe9b4adcc7e2cbef00cf7
2008-11,RS_2008-11.zst,22545522,272505,382766692,545dbe4326aed14dd84afce64ac7cb2805a534f509f7725a5e42a6149073f418,RC_2008-11.bz2,e27be22b44ea6e452ca7ae2eb4ef85f70a02c11bdb655d7c41780791cfa66c6e
2008-12,RS_2008-12.zst,23350557,283915,398514557,7c08c988a1abf71c5f8e669d099be4cad3c4f9a781e1bd231ff3baf4e9dad907,RC_2008-12.bz2,a171dd8d71f76004524bfdb54cb51c41c1046513a842c508753cc1f757ac4a59
2009-01,RS_2009-01.zst,27378217,331060,465055348,d3aeb7368d68d9b133ca2e0ccfcf414e95a2a2591966eff46d5a18364d58a29f,RC_2009-01.bz2,bc16dad9212fa679272932366ca01c9f0c99bbe411dedd30db7149c5f8b2782c
2009-02,RS_2009-02.zst,27573618,329042,462827109,635ebd924d2f97e391a5657582ab16369b09d9a774d7cc6f7062230cde311df6,RC_2009-02.bz2,c23f20220943b351ee2e92073b8e47c7e12c02469f01a78e08eba8c4dfd8ccc8
2009-03,RS_2009-03.zst,30572289,362805,510921769,adb9484ac07469958fe84c12f9617ffd10b550078a06e437d985935a94803f04,RC_2009-03.bz2,a9e95b5d9f0458434d360d95d633809ef19e616ea70f46f0426cda86fe0a7014
2009-04,RS_2009-04.zst,30207105,357107,503439609,af59f4cf286a748dd31d2e8bad4a3decf8a67f6d274f76b3ee93b885f335a78f,RC_2009-04.bz2,ed6bc15c3d148e3084f492b8b1338de0c8993b0be786d7fedb99fb4685c6fd98
